0.05127,0.69956,1
-0.09274,0.68494,1
-0.21371,0.69225,1
-0.37500,0.50219,1
-0.51325,0.46564,1
-0.52477,0.20980,1
-0.39804,0.03436,1
-0.30588,-0.19225,1
0.01671,-0.40424,1
0.13191,-0.51389,1
0.38537,-0.56506,1
0.52938,-0.52120,1
0.63882,-0.24342,1
0.73675,-0.18494,1
0.54666,0.48757,1
0.32200,0.58260,1
0.16647,0.53874,1
-0.04666,0.81652,1
-0.17339,0.69956,1
-0.47869,0.63377,1
-0.60541,0.59722,1
-0.62846,0.33406,1
-0.59389,0.00512,1
-0.42108,-0.27266,1
-0.11578,-0.39693,1
0.20104,-0.60161,1
0.46601,-0.53582,1
0.67339,-0.53582,1
-0.13882,0.54605,1
-0.29435,0.77997,1
-0.26555,0.96272,1
-0.16187,0.80190,1
-0.17339,0.64839,1
-0.28283,0.47295,1
-0.36348,0.31213,1
-0.30012,0.02705,1
-0.23675,-0.21418,1
-0.06394,-0.18494,1
0.06279,-0.16301,1
0.22984,-0.41155,1
0.29320,-0.22880,1
0.48329,-0.18494,1
0.64459,-0.14108,1
0.46025,0.01243,1
0.62730,0.15863,1
0.57546,0.26827,1
0.72523,0.44371,1
0.22408,0.52412,1
0.44297,0.67032,1
0.32200,0.69225,1
0.13767,0.57529,1
-0.00634,0.39985,1
-0.09274,0.55336,1
-0.20795,0.35599,1
-0.20795,0.17325,1
-0.43836,0.21711,1
-0.21947,-0.01681,1
-0.13882,-0.27266,1
0.18376,0.93348,1
0.22408,0.77997,1
0.29896,0.61915,1
0.50634,0.75804,1
0.61578,0.72880,1
0.60426,0.59722,1
0.76555,0.50219,1
0.92684,0.36330,1
0.82316,0.27558,1
0.96141,0.08553,1
0.93836,0.01243,1
0.86348,-0.08260,1
0.89804,-0.20687,1
0.85196,-0.36769,1
0.82892,-0.52120,1
0.79435,-0.55775,1
0.59274,-0.74050,1
0.51786,-0.59430,1
0.46601,-0.41886,1
0.35081,-0.57968,1
0.28744,-0.76974,1
0.08583,-0.75512,1
0.14919,-0.57968,1
-0.13306,-0.44810,1
-0.40956,-0.41155,1
-0.39228,-0.25804,1
-0.74366,-0.25804,1
-0.69758,0.04167,1
-0.75518,0.29020,1
-0.69758,0.68494,1
-0.40380,0.70687,1
-0.38076,0.91886,1
-0.50749,0.90424,1
-0.54781,0.70687,1
0.10311,0.77997,1
0.05703,0.91886,1
-0.10426,0.99196,1
-0.08122,1.10890,1
0.28744,1.08700,1
0.39689,0.82383,1
0.63882,0.88962,1
0.82316,0.66301,1
0.67339,0.64108,1
1.07090,0.10015,1
-0.04666,-0.57968,0
-0.23675,-0.63816,0
-0.15035,-0.36769,0
-0.49021,-0.30190,0
-0.46717,-0.13377,0
-0.28859,-0.06067,0
-0.61118,-0.06798,0
-0.66302,-0.21418,0
-0.59965,-0.41886,0
-0.72638,-0.08260,0
-0.83007,0.31213,0
-0.72062,0.53874,0
-0.59389,0.49488,0
-0.48445,0.99927,0
-0.00634,0.99927,0
0.63265,-0.03061,0
